name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
# COLONY FACTIONS BUILTINS,,,,,,,,,,,,,,,,,,
People's Armada,vayra_red_army,,,Red Guards,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_red_army,"This ship has been rebuilt with simple, multiply redundant, and easily replaced modular components with an eye towards durability and ease of maintenance. As a result, repair rates both in and outside of combat are increased by %s, the effects of EMP damage and hostile terrain are reduced by %s, and weapons and engines gain %s bonus durability.",,graphics/icons/skills/combat_endurance2.png
Capital-Grade Targeting Unit,vayra_commiecore,,,Red Guards,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraCommieCore,This ship has been the recipient of an advanced targeting unit clearly transplanted - with great effort - from a capital-class warship. Extends the range of nonmissile weapons by %s. Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.,,graphics/icons/skills/target_analysis.png
Merchant Marine,vayra_merchant_marine,,,Merchant Marine,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_merchant_marine,"This ship has been mercilessly optimized for bulk efficiency and protection from asset depreciation/loss at the expense of all other considerations. Maintenance costs, fuel use, and minimum crew required have all been reduced by %s, and armor has been increased by %s points. However, speed and maneuverability are both reduced by %s.",,graphics/icons/skills/recovery_ops.png
Ashen Bulwark,vayra_ashen_bulwark,,,Ashen Keepers,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_ashen_bulwark,"This ship has been refit by Ashen Knight enginseers for use in their neverending fight for survival against more fundamentalist Luddic sects. Buttressed and spaced reactive armor panels increase armor rating by %s points and reduce damage taken from incoming missiles over %s by %s, up to a maximum of %s points of damage reduction. In addition, the hull has been studded with microscale close-range EMP emitters which will engage and create disabling arcs to %s every %s.

Unfortunately as the aftermarket systems require frequent maintenance and replacement, the ship incurs %s the normal monthly supply costs.",,graphics/hullmods/vayra_ashen_bulwark.png
Stormhawk Modular Engineering,vayra_warhawk_modular,,,Stormhawk Republic,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraWarhawkModular,"This ship has been constructed in accordance with the Stormhawk Republic's advanced modular engineering standards, replacing several of its weapon emplacements with highly-adaptable %s mounts. This design philosophy extends to any nanoforges installed in the hull, where a ready supply of prefabricated fighter chassis and weapons modules enable the strike craft refits to be performed %s faster.",,graphics/hullmods/vayra_warhawk_hm_crest.png
Integrated Bulkhead Flicker-Coils,vayra_science_hull,,,Research Mandate,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraScienceHull,"Miniaturized low-power phase coils integrated into the bulkheads of this advanced combat vessel enable it to momentarily 'flicker' portions of its structure out of existence when fired upon, taking %s less hull and armor damage from all sources. The phase coils run continuously at a low power when not spooled to combat readiness, reducing sensor signature by %s.

As an unintended side effect of the truly stupendous amounts of power being channeled through the hull, the coils will %s if the ship is ever destroyed.",,graphics/hullmods/vayra_science_hull.png
Broadside Core,vayra_galleoncore,,,Merchant Marine,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.vayra_galleoncore,Extends the range of nonmissile weapons by %s. Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.,,graphics/icons/abilities/transponder.png
Aetherodynamic Stabilization Beam Hub,vayra_beam_rotor,,,Red Guards,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.VayraBeamRotorHullmod,IN SOVIET UNION SPACE HELICOPTER FLIES *YOU*,,graphics/hullmods/generic_mod.png
,,,,,,,,,,,,,,,,,,
# PERSEAN LEAGUE SUBFACTION BUILTINS,,,,,,,,,,,,,,,,,,
Iron Armada,vayra_kazeron_iron,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraKazeron,"A member of the elite Iron Armada of Kazeron, this ship has undergone a series of basic - but expertly performed - upgrades designed to harden it against hostile fire and improve its longevity on the battlefield. Increases armor by %s points, weapon and engine health by %s points, and reduces overload time by %s.",,graphics/hullmods/vayra_kazeron.png
Order of Westernesse,vayra_westernesse_knight,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraWesternesse,"Personal flagship of one of the esteemed Knights of Westernesse, this ship has been painstakingly upgraded with a series of exquisitely handcrafted components and systems tweaks by the expert shiptechs of Filkenhild designed to increase its deadliness in combat. Increases ballistic weapon rate of fire by %s, beam damage by %s, and maneuverability by %s.",,graphics/hullmods/vayra_westernesse.png
,,,,,,,,,,,,,,,,,,
# BOUNTY BUILTINS,,,,,,,,,,,,,,,,,,
Worth The Effort,vayra_bounty_recoverable,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.VayraBountyRecoveryHullmod,YOU NEVER SHOULD HAVE COME HERE AND NOW YOU'RE GONNA PAY,,
,,,,,,,,,,,,,,,,,,
# goast ship related nonbuiltins,,,,,,,,,,,,,,,,,,
Broad-Spectrum AI Inhibitor,vayra_anti_robot,3,0.5,,special,Special,10000,,,,4,8,12,20,data.scripts.hullmods.VayraDamagedAutomation,"Installs complex exotic radiative devices throughout the ship, jamming the specific wavelengths required for higher-level AI functionality with a tide of white noise and promising some protection against any hostile artificial entity present aboard the vessel. Interferes with the more advanced of a ship's automated systems, reducing maximum combat readiness by %s and increasing minimum crew required by %s.

Although generally considered the exclusive provenance of paranoid luddics, some scavenger captains swear by such devices - crediting them with saving their lives from psychotic food processing droids, rampant nanomachine infestations, or even rogue alpha-plus level AI cores loose in their ships' cogitator banks.","Inhibits all AI activity onboard the ship, requiring extra crew and reducing combat readiness.",graphics/hullmods/vayra_anti_robot.png
,,,,,,,,,,,,,,,,,,
# GGGOaST SHIP BUILTINS,,,,,,,,,,,,,,,,,,
Ghost Ship,vayra_ghost_ship_mystery,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
Ghost Ship,vayra_ghost_ship_mystery_nothing,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.VayraGhostShip,"Discovered drifting and wrecked in a remote system, this ship was lost under uncertain circumstances. Scattered reports of crew going missing have so far remained unconfirmed. A sense of dread shrouds the vessel and weighs heavily on the crew, who demand a force of marine guards be continually stationed aboard, 'just in case' - in case of what, nobody is entirely sure. Reduces maximum combat readiness by up to %s if at least %s marines are not stationed on board. 

You currently have %s marines compared to a total of %s required to properly secure all ships in your fleet requiring marine guards, resulting in a maximum combat readiness penalty of %s.",,graphics/icons/abilities/distress_call.png
