name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shieldwall Drone,vayra_exemplardrone,,,,,300,75,500,,100,,,300,400,400,150,300,10,FRONT,,180,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolverine-class,vayra_wolverine,,Recovered Tech,maneuveringjets,,1500,400,2000,,400,,,120,75,75,45,90,120,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0.4,2,2,
Hammer Carrier,vayra_hammer_carrier,,Low Tech,,,300,25,150,,50,,,120,75,75,20,40,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Mining Platform,vayra_mining_platform,,Low Tech,,,1200,300,300,,100,,,100,75,75,45,90,80,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
LR Mining Pod,vayra_lr_mining_drone,,Low Tech,flarelauncher_single,,600,150,300,,100,,,175,75,75,45,90,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Survey Pod,vayra_survey_drone,,Low Tech,flarelauncher_single,,300,75,150,,100,,,300,150,150,90,180,25,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Targeting Pod,vayra_targeting_pod_p,,Pirate,,,300,75,75,,100,,,125,75,75,45,90,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Defense Pod,vayra_defense_pod_p,,Pirate,,,300,75,75,,100,,,125,75,75,45,90,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Athame,vayra_tac_drone,,High Tech,,,250,50,200,,40,,,150,300,150,180,360,25,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
