name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,icon
Flare Launcher,vayra_galleonflares,,,,,,,,3,0.2,,,,0.75,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Bolt-On Missile Tubes,vayra_boltonmissiletubes,,,,,,,,2,0.1,0.25,0,0.25,0.5,,,,,,,,,,,graphics/icons/hullsys/missile_racks.png
Timestate Beacon,vayra_time_beacon_rewind,,,,,,0.1,,1,0.015,0.5,0,0,1,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,graphics/icons/hullsys/displacer.png
Overclocked Weapons,vayra_strikefeed,1,,,,,,,,,2,2,2,10,,,,,,,,,,,graphics/icons/tactical/overloaded.png
Burst Maneuvering Jets,vayra_burstjets,,,,,,,,3,0.2,0.25,2,0.25,0,,,,,,,,,,,graphics/icons/tactical/engine_boost2.png
Flare Launcher++,vayra_foreverflares,,,,,,,,2,0.0666,,,,0.5,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Flare Launcher+,vayra_sometimesflares,,,,,,,,1,0.0666,,,,0.5,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Ready Magazines,vayra_reloadeverything,,,,,,0.25,,3,0.1,1,0,0,0,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Tac Drones,vayra_tacdrones,,,,,,,,4,0.1,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_borer.png
Glory Charge,vayra_gloryburn,,,,,,,,,,0,4,1,10,,,,,,,,,,,graphics/icons/hullsys/displacer.png
Micro Burn,vayra_microburn,1,,,,,,,2,0.0666,0.5,0.5,0.5,,,,,,,,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
Shieldwall Drones,vayra_exemplardrones,,,,,,,,12,0.05,0,,0,0,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Screening Protocols,vayra_screeningformation,,,,,,,,,,1,,1,6,TRUE,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Stinger Mine,vayra_fragmine,,,,,,0.05,,12,0.25,0.1,,0.1,0,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Damper Shield,vayra_dampershield,,,0.1,,,0.1,,,,0.666,,0.666,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,graphics/icons/hullsys/damper_field.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Phase Submersion,antediluvian_submerge,,,,,,,,,,0.25,,0.25,1.5,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,graphics/icons/hullsys/phase_cloak.png
,,,,,,,,,,,,,,,,,,,,,,,,,
Mass-Aug Ram Drive,vayra_ramdrive,,,,,,,,,,0.666,2,0.333,18,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,graphics/icons/tactical/engine_boost.png
Mass-Aug Ram Jets,vayra_ramjets,,,,,,,,,,0.5,2,0.5,8,,,,,,,,,TRUE,,graphics/icons/tactical/engine_boost.png
Mass-Aug Ram Jets,vayra_ramjets_fighter,,,,,,,,,,0.5,2,0.5,8,,,,,,,,,TRUE,,graphics/icons/tactical/engine_boost.png
Capital Ram Jets,vayra_caliphjets,,,,,,0.2,,,,0.5,2,0.5,30,,TRUE,,TRUE,TRUE,,,,TRUE,,graphics/icons/tactical/engine_boost.png
Mass-Aug Overdrive,vayra_augoverdrive,,,,,,,,,,1,5,1,10,,,,,,,,,TRUE,,graphics/icons/tactical/venting_flux2.png
Flux Injector,vayra_fluxoverdrive,,,,,,,,,,1,5,1,10,,,,,,,,,TRUE,,graphics/icons/tactical/venting_flux2.png
Mass-Anomaly Field,vayra_massfield,,,,,,,,,,0.5,10,0.5,10,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Martyr Channel,vayra_martyrchannel,,,,,,,,,,0.5,10,0.5,10,,,,,,,,,,,graphics/icons/hullsys/reserve_deployment.png
Flare Launcher,vayra_caliphflares,,,,,,,,2,0.05,,,,0.5,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Mass-Displacement Shunt Drive,vayra_phaseshunt,,,,,,,,2,0.1,0.25,,0.25,0,,TRUE,,TRUE,,,,,TRUE,,graphics/icons/hullsys/vayra_phaseshunt.png
Capital Shunt Drive,vayra_phaseshunt_capital,,,,,,0.2,,2,0.05,0.25,,0.25,0,,TRUE,,TRUE,,,,,TRUE,,graphics/icons/hullsys/vayra_phaseshunt.png
Weapons Drive Redirect,vayra_weaponsdrive,,,,,,,,,,1,2,1,12,,,,,,,TRUE,TRUE,TRUE,,graphics/icons/hullsys/ammo_feeder.png
Unlimited Missile Works,vayra_unlimitedmissileworks,,,0.11875,,,,,1,0.015,8,0,0,0,,TRUE,,,TRUE,,,,TRUE,TRUE,graphics/icons/hullsys/missile_autoforge.png
