id,type,text1,text2,text3,notes
communist_clouds,FACTION,"A rag-tag alliance of ideologically diverse - some would say 'incoherent' - rebels and guerillas, the Persean Democratic People's Revolutionary Council traces its origins back to armed affinity groups formed for community self-defense during the Askonian Crisis on Umbra. No longer content to be lumped in with the pirates and brigands who now primarily populate their homeworld, they have begun looking out to the fringes of the sector for new territory to claim and bring their dreams of a better society to light.

Although generally poorly armed and equipped, rumors have begun to spread in recent cycles that the Revolutionary Council may now be accepting shipments of arms and other materiel from an unknown benefactor or benefactors among the more powerful factions of the sector. Whether or not they can band together with enough cohesion to form an effective ally for these shadowy backers remains, of course, to be seen.",,,
warhawk_republic,FACTION,"The Stormhawk Republic was declared seemingly overnight, its founding fathers - largely children of displaced Mayasurians and bitter veterans of the ongoing conflict with the Hegemony - casting off what they saw as the shackles of diplomacy binding the Persean League and setting out to, in their own words, ""take the fight to the enemy"". 

Intelligence reports on their actions seem to confirm that their current goal is the establishment of military shipyards and industrial centers across the fringes of the sector in order to support the ongoing war effort. ",,,
almighty_dollar,FACTION,"The Rimward Venture Trading Company is a recently formed mercantile/colonial conglomerate, counting among its board members representatives from the Ko Combine, Eridani-Utopia Corporation, and even Hegemony civil authorities. According to recent hyperwave press releases, their corporate mandate is to expand profits by establishing new fringe-sector sites for tech-mining, resource extraction, and luxury development.",,,
science_fuckers,FACTION,"The Independent AI Research Mandate is a loose organization of scientists dedicated to the research, exploration, and cataloguing of the remains left across the sector by the chaos of the First AI War. The initiative was founded by one Alexander Campbell, a well known former Tri-Tachyon corporate officer who resigned and liquidated his assets to fund this endeavour. Despite public disavowal from Campbell’s peers and statements from corporate spokespeople claiming no association with the Mandate, suspicions remain that they are secretly still working alongside their former colleagues to further the ambitions of Tri-Tachyon as a whole.

As such, many powerful players in the galactic game have eyes on this company. For now it does as its charter claims, sifting through ruins of the war and sealing away dangerous technologies that could awaken a new conflict.",,,
ashen_keepers,FACTION,"The Ashen Keepers are a society - some would say a cult - formed around the figure of a Luddic tech-heretic who famously preached a rejection of the technophobia and romantic idyllicism of the Church while still evangelising the faith of Ludd and decrying the excesses of Domain-era AI and transhumanist projects. Besides those factions who make heavy use of the aforementioned Molochs, the bulk of their ire is directed towards the Luddic Path, whom they see as utterly unforgivable fanatics bent on perverting the path of Ludd away from redemption to annihilation.

Despite being declared apostate and excommunicated by the church, every day more of the disillusioned faithful flock to the Ashen Keepers for a chance at better, easier lives then the endless harvest and toil in the fields and factories of Gilead. The Keepers are a dim hope for those who yearn to be free, and a bitter curse on the lips of the church elders.",,,
vayra_manifesto,SHIP,"Pride of the Revolutionary Council Armada, the Manifesto is a robust light battlecarrier. Armed with a versatile - if somewhat light - weapons package and equipped with advanced ammunition forging and delivery mechanisms to temporarily boost its firepower, the Manifesto excels at delivering heavy ballistic and strike craft support wherever it is needed in the battlespace.",,,
vayra_galleon,SHIP,"A gigantic and extremely well-defended merchant vessel, acting as a mobile command center, financial institution, tax collector, bazaar, and corporate luxury liner for executives of the Rimward Venture Trading Company. Constructed to collect extracted wealth from outlying colonies in the furthest most dangerous reaches of the sector and return it safely home to the Company's shareholders, the Galleon's nigh-impregnable armored belts and heavy weaponry are proof against scavengers, pirates, and more powerful threats alike.

While its cargo of regular freight and trade goods approaches the capacity of an entire merchant fleet in and of itself, the most valuable items carried by the Galleon are the hardcopy credit stores and financial documents necessary for the operation of the Rimward Venture. No few enterprising pirate captains have met their deaths at the end of its potent broadsides, lured by the promise of wealth enough to instantly catapult any who would succeed in taking the Galleon to the status of pirate legend and one of the richest individuals in the sector.",,,
vayra_pegasus,SHIP,"A technologically advanced heavy escort fighter design armed with tactical beam weapons and autoloading support missiles. While range and sturdy shield generator cause it to excel in a close support role, relative cost and long refit times along with a lack of dedicated PD weaponry mean the Pegasus can sometimes struggle when swarmed by lighter, more agile strike craft.",,,
vayra_workhorse,SHIP,"An agile light fighter with surprising bite, deployed en masse as an escort screen for armed freighters plying dangerous trade routes. Relatively heavy armor for an interceptor gives it staying power in a fight - and pilot survivability - far in excess of the more common Talon.",,,
vayra_galleonflares,SHIP_SYSTEM,Launches flares that distract the guidance systems of incoming missiles and PD weapons. Any missile hitting a flare will be destroyed.,Defensive,Launches flares to confuse the guidance systems of nearby enemy missiles.,
