name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Broadside Pulse Cannon,vayra_tpc,0,,100000,1000,,250,,0,10,,20,1,,ENERGY,200,,0,0.2,1,,0,10,2,5,,1000,,,,"SYSTEM, SHOW_IN_CODEX",,,,,Heavy Assault,,,,,,,,,,ZZ BuiltinOrFighter
Casement Mounts,vayra_galleon_p_case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Aetherodynamic Stabilization Beam Hub,vayra_beam_rotor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Aetherodynamic Stabilization Beam,vayra_rotor_beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,YY Deco
Destabilized Beam Rotor,vayra_rotor_shrapnel,0,,0,2000,,300,,100,420,0,1,,,ENERGY,0,,0,1,1,,,,,,,400,400,6,500,SYSTEM,,,,,,,,,,,,,,,ZZ BuiltinOrFighter
Kashtan Scattergun,vayra_kashtan,0,,100,300,,12,,1,120,2,,,,FRAGMENTATION,3,,0,0.33,1,,18,18,18,18,,1000,,,10,"PD, ANTI_FTR","pd3, SR, revolutionary",,,,Point Defense,,,,,Deals additional %s damage to fighters equal to the original hit.,high explosive,,,,1 Small Ballistic
Ionized Plasma Lance,vayra_plasmalance_fighter,3,,0,500,600,,600,50,60,0,3,0.5,,HIGH_EXPLOSIVE,,300,0.1,0.1,0.1,0.1,,,,,10000,,,,,"PD, ANTI_FTR, SYSTEM",,,,,Point Defense,,,,,"Hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage.",,,,,ZZ BuiltinOrFighter
Extinguisher Microrocket Pod,vayra_lightrocket_fighter,1,,0,500,,50,,5,30,0,3,0.3,3,HIGH_EXPLOSIVE,0,,0,0.1,3,0.1,0,20,10,10,,400,100,1.5,50,"DO_NOT_CONSERVE, SYSTEM",,,,,Anti Armor,Fast,None,,,,,,,,ZZ BuiltinOrFighter
Vampir ASM Pod,vayra_incendiarysrm_fighter,1,,0,1000,,100,,5,30,0,5,,,HIGH_EXPLOSIVE,0,,0,0.1,5,0.1,0,45,10,10,,300,100,6,30,"DO_NOT_AIM, SYSTEM",,,,,Anti Small Craft,Fast,Excellent,,,Deals additional %s damage to capital ships equal to the original hit.,high explosive,,,,ZZ BuiltinOrFighter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
